Participant,Condition,Block,Task,Trial,temp.x,temp.y,temp.z,final.x,final.y,final.z,timems,templateformat.x,finalformat.x,error.x,templateformat.y,finalformat.y,error.y,templateformat.z,finalformat.z,error.z,errorneg.x,errorneg.y,errorneg.z,sumofsq,template.xp,template.yp,template.zp,final.xp,final.yp,final.zp,Euclidean_distance
1,Smart Trackpad,3D Task,3D Model Rotation,1,-30.47924659,-47.21336713,-30.47924659,155.0973577,-6.962888084,127.4579016,44000,390.4792466,155.0973577,-235.3818889,407.2133671,366.9628881,-40.25047905,390.4792466,127.4579016,-263.021345,235.3818889,40.250479,263.021345,126204.9626,5.751222101,5.459156634,5.751222101,2.706959552,6.161659985,2.224560041,4.711516816
1,Smart Trackpad,3D Task,3D Model Rotation,2,-31.88139701,-44.99783251,-31.88139701,-23.94402635,-34.69083107,-55.79978656,44000,391.881397,383.9440264,-7.9373706,404.9978325,394.6908311,-10.30700144,391.881397,415.7997866,23.91838955,7.9373706,10.3070014,23.9183896,741.325491,5.726749959,5.497824935,5.726749959,5.865283211,5.67771609,5.30929531,0.475205927
1,Smart Trackpad,3D Task,3D Model Rotation,3,32.3525259,-44.22212795,32.3525259,114.0311818,23.51853247,32.3525259,43000,32.3525259,114.0311818,81.6786559,404.222128,23.51853247,-380.7035955,32.3525259,32.3525259,0,81.6786559,380.7035955,0,151606.6305,0.564658098,5.511363553,0.564658098,1.990219573,0.410475827,3.915139957,6.267137289
1,Smart Rotate Pointer,3D Task,3D Model Rotation,1,-34.43457414,-40.59568514,-34.43457414,49.63223634,-75.25029947,-95.6312492,39000,394.4345741,49.63223634,-344.8023378,400.5956851,435.2502995,34.65461433,394.4345741,455.6312492,61.19667506,344.8023378,34.6546144,61.1966751,123834.6275,5.682188612,5.57465693,5.682188612,0.866245939,4.969819812,4.614105141,4.969902823
1,Smart Rotate Pointer,3D Task,3D Model Rotation,2,36.98209643,-35.68382952,36.98209643,-40.59116742,-16.57551873,163.7349584,38000,36.98209643,400.5911674,363.609071,395.6838295,376.5755187,-19.10831079,36.98209643,163.7349584,126.752862,363.609071,19.1083108,126.752862,148642.9721,0.645459347,5.660385009,0.645459347,5.574735788,5.99388793,2.857714125,5.41323024
1,Smart Rotate Pointer,3D Task,3D Model Rotation,3,-21.10274207,-58.84637404,-21.10274207,0.986986691,-9.037056583,-38.37425565,31000,381.1027421,0.986986691,-380.1157554,418.846374,369.0370566,-49.80931746,381.1027421,398.3742557,17.27151358,380.1157554,49.8093174,17.2715136,147267.2608,5.914872977,5.256122269,5.914872977,0.017226167,6.125458915,5.613428198,5.968990958
1,Smart Tilt Pointer,3D Task,3D Model Rotation,1,23.99333148,-55.80752576,23.99333148,138.04541,-36.99494165,-86.4651872,25000,23.99333148,138.04541,114.0520785,415.8075258,396.9949417,-18.81258411,23.99333148,446.4651872,422.4718557,114.0520785,18.8125841,422.4718557,191844.2588,0.418762633,5.309160249,0.418762633,2.409346922,5.637501769,4.774083102,1.799901077
1,Smart Tilt Pointer,3D Task,3D Model Rotation,2,40.61550136,-27.63200657,40.61550136,10.29047279,30.64853278,-4.099125161,20000,40.61550136,10.29047279,-30.32502857,387.6320066,30.64853278,-356.9834738,40.61550136,364.0991252,323.4836238,30.32502857,356.9834738,323.4836238,232998.4628,0.708874226,5.80091581,0.708874226,0.179602632,6.211642077,0.534917809,0.692159896
1,Smart Tilt Pointer,3D Task,3D Model Rotation,3,41.636569,-25.11081267,41.636569,125.4844615,31.88721877,-147.7260943,11000,41.636569,125.4844615,83.8478925,385.1108127,31.88721877,-353.2235939,41.636569,507.7260943,466.0895253,83.8478925,353.2235939,466.0895253,349036.822,0.726695218,5.844918954,0.726695218,2.190117014,0.556536957,3.704878571,0.243249441
1,Smart Trackball,3D Task,3D Model Rotation,1,-6.748102544,-67.77327665,-6.748102544,120.4290963,31.75332597,144.6122503,38000,366.7481025,120.4290963,-246.3190062,427.7732767,31.75332597,-396.0199507,366.7481025,144.6122503,-222.1358522,246.3190062,396.0199507,222.1358522,266849.191,6.1654087,5.100318503,6.1654087,2.101884246,0.554200085,2.523959907,5.102082298
1,Smart Trackball,3D Task,3D Model Rotation,2,-28.83874873,-49.63587027,-28.83874873,132.8196992,41.37381071,84.9227621,45000,388.8387487,132.8196992,-256.0190495,409.6358703,41.37381071,-368.2620596,388.8387487,84.9227621,-303.9159866,256.0190495,368.2620596,303.9159866,293527.6252,5.77985419,5.416875913,5.77985419,2.318141062,0.722109221,1.482181808,5.245293643
1,Smart Trackball,3D Task,3D Model Rotation,3,41.447085,-25.58826422,41.447085,132.9723805,25.0034574,-150.2769212,36000,41.447085,132.9723805,91.5252955,385.5882642,25.0034574,-360.5848068,41.447085,510.2769212,468.8298362,91.5252955,360.5848068,468.8298362,358199.6979,0.723388099,5.836585847,0.723388099,2.320805854,0.436392656,3.660358243,4.351348173
2,Smart Trackball,3D Task,3D Model Rotation,1,36.08988594,-37.46712072,36.08988594,68.99271915,-34.93212938,-65.54884131,45000,36.08988594,68.99271915,32.90283321,397.4671207,394.9321294,-2.53499134,36.08988594,425.5488413,389.4589554,32.90283321,2.5349913,389.4589554,152767.3006,0.629887336,5.629260665,0.629887336,1.204150109,5.673504634,5.139142205,4.545889873
2,Smart Trackball,3D Task,3D Model Rotation,2,4.35437152,-68.34702995,4.35437152,145.7768924,38.34380453,-163.1267488,26000,4.35437152,145.7768924,141.4225209,428.34703,38.34380453,-390.0032254,4.35437152,523.1267488,518.7723773,141.4225209,390.0032255,518.7723773,441227.6248,0.07599812,5.090304521,0.07599812,2.544286746,0.669225639,3.436086442,6.076889069
2,Smart Trackball,3D Task,3D Model Rotation,3,34.41509271,-40.63117062,34.41509271,123.0284088,9.351876651,-145.8232885,36000,34.41509271,123.0284088,88.61331609,400.6311706,9.351876651,-391.279294,34.41509271,505.8232885,471.4081958,88.61331609,391.2792939,471.4081958,383177.4927,0.60065668,5.574037617,0.60065668,0.473814473,5.376461624,0.473814473,0.266859821
2,Smart Trackpad,3D Task,3D Model Rotation,1,-37.08979984,-35.4637475,-37.08979984,24.02479719,-10.48995974,-61.34736602,45000,397.0897998,24.02479719,-373.0650026,395.4637475,370.4899597,-24.97378776,397.0897998,421.347366,24.25756618,373.0650026,24.9737878,24.2575662,140389.6158,5.635846181,5.66422616,5.635846181,0.419311813,6.100100971,5.212471783,5.251805741
2,Smart Trackpad,3D Task,3D Model Rotation,2,35.61135452,-38.39502993,35.61135452,-149.9758276,-11.3751628,84.90777837,45000,35.61135452,509.9758276,474.3644731,398.3950299,371.3751628,-27.01986713,35.61135452,84.90777837,49.29642385,474.3644731,27.0198671,49.29642385,228181.864,0.621535387,5.613065641,0.621535387,3.665613318,6.084651263,1.481920293,3.198291049
2,Smart Trackpad,3D Task,3D Model Rotation,3,-31.01980771,-46.37546191,-31.01980771,104.9550626,21.56924105,91.64262897,36000,391.0198077,104.9550626,-286.0647451,406.3754619,21.56924105,-384.8062209,391.0198077,91.64262897,-299.3771787,286.0647451,384.8062209,299.3771787,319535.5612,0.610672501,5.592504699,0.610672501,5.741787529,5.473780849,5.741787529,7.257463621
2,Smart Tilt Pointer,3D Task,3D Model Rotation,1,40.34561017,-28.27786625,40.34561017,37.87221428,-33.83278562,37.87221428,28000,40.34561017,37.87221428,-2.47339589,388.2778663,393.8327856,5.55491937,40.34561017,37.87221428,-2.47339589,2.47339589,5.5549193,2.47339589,43.09250289,0.704163736,5.789643436,0.704163736,5.790023203,5.402597234,5.790023203,2.202897875
2,Smart Tilt Pointer,3D Task,3D Model Rotation,2,-36.81116948,-36.03094721,-36.81116948,-22.73772857,-24.98858777,-53.51258912,28000,396.8111695,382.7377286,-14.0734409,396.0309472,384.9885878,-11.04235944,396.8111695,413.5125891,16.70141964,14.0734409,11.0423594,16.7014196,598.9328565,5.886337079,5.847052176,5.349214436,1.374655807,1.440057091,4.816406814,2.329356803
2,Smart Tilt Pointer,3D Task,3D Model Rotation,3,37.87221428,-33.83278562,37.87221428,78.761976,82.50919319,-84.04021715,20000,37.87221428,78.761976,40.88976172,393.8327856,82.50919319,-311.3235924,37.87221428,444.0402172,406.1680029,40.88976172,311.3235924,406.1680029,263566.7984,0.660994834,5.692691795,0.660994834,0.54737156,6.226034208,3.201840128,2.598703366
2,Smart Rotate Pointer,3D Task,3D Model Rotation,1,33.23140785,-42.73151632,33.23140785,43.17197748,-15.82093929,50.81783442,20000,33.23140785,43.17197748,9.94056963,402.7315163,375.8209393,-26.91057703,33.23140785,50.81783442,17.58642657,9.94056963,26.910577,17.58642657,1132.276479,0.579997482,5.537379628,0.579997482,0.753493152,6.007057826,0.886938529,5.587291379
2,Smart Rotate Pointer,3D Task,3D Model Rotation,2,38.70564831,-32.03109678,38.70564831,72.61165332,27.9231652,134.9891838,37000,38.70564831,72.61165332,33.90600501,392.0310968,27.9231652,-364.1079316,38.70564831,134.9891838,96.28353549,33.90600501,364.1079316,96.28353549,142994.7222,0.675541002,5.724137199,0.675541002,1.267312426,0.48735117,2.356005711,5.531553396
2,Smart Rotate Pointer,3D Task,3D Model Rotation,3,40.57096559,-27.7391573,40.57096559,-161.5505071,-10.47266794,35.02598443,39000,40.57096559,521.5505071,480.9795415,387.7391573,370.4726679,-17.26648936,40.57096559,35.02598443,-5.54498116,480.9795415,17.2664894,5.54498116,231670.1978,0.70809693,5.799045672,0.70809693,3.463597051,6.100402769,0.611318752,2.773619122
3,Smart Tilt Pointer,3D Task,3D Model Rotation,1,41.4416092,-25.60199539,41.4416092,158.0855531,2.68252517,-77.4172572,29000,41.4416092,158.0855531,116.6439439,385.6019954,2.68252517,-382.9194702,41.4416092,437.4172572,395.975648,116.6439439,382.9194702,395.975648,317029.8441,0.723292528,5.836346192,0.723292528,5.844350391,5.332521341,5.844350391,1.259773189
3,Smart Tilt Pointer,3D Task,3D Model Rotation,2,-9.472528866,-66.8140058,-9.472528866,58.92617575,25.51218051,-15.24326926,20000,369.4725289,58.92617575,-310.5463532,426.8140058,25.51218051,-401.3018253,369.4725289,375.2432693,5.770740394,310.5463532,401.3018253,5.7707404,257515.4939,1.028455782,0.445271551,6.01714007,2.759113402,0.046818896,4.931999271,2.081218602
3,Smart Tilt Pointer,3D Task,3D Model Rotation,3,40.24190482,-28.52383718,40.24190482,-166.2600389,-16.24598314,-137.9513935,23000,40.24190482,526.2600389,486.0181341,388.5238372,376.2459831,-12.27785404,40.24190482,497.9513935,457.7094887,486.0181341,12.2778541,457.7094887,445862.3484,0.478474097,5.382634164,0.478474097,0.72503353,5.84072211,0.72503353,0.575697555
3,Smart Trackball,3D Task,3D Model Rotation,1,40.87784329,-26.996149,40.87784329,12.89950225,-65.13406376,12.89950225,29000,40.87784329,12.89950225,-27.97834104,386.996149,425.1340638,38.13791476,40.87784329,12.89950225,-27.97834104,27.97834104,38.1379148,27.97834104,3020.07568,0.713452956,5.812013632,0.713452956,5.779392116,5.417533809,5.779392116,3.175172017
3,Smart Trackball,3D Task,3D Model Rotation,2,-120.8376361,63.06684946,127.3547331,135.085719,11.42301063,-125.2720316,37000,480.8376361,135.085719,-345.7519171,63.06684946,11.42301063,-51.64383883,127.3547331,485.2720316,357.9172985,345.7519171,51.64383883,357.9172985,250316.2668,4.174170697,1.10072417,2.222759411,4.096775894,0.199369146,2.35769057,0.91467877
3,Smart Trackball,3D Task,3D Model Rotation,3,-19.77929133,-60.08837867,-19.77929133,9.71993002,-51.02735813,-47.61072129,40000,379.7792913,9.71993002,-370.0593613,420.0883787,411.0273581,-9.06102054,379.7792913,407.6107213,27.83142996,370.0593613,9.0610206,27.83143,137800.6215,5.93797155,5.234445225,5.93797155,0.169644782,5.392589898,5.452221461,4.790902917
3,Smart Trackpad,3D Task,3D Model Rotation,1,40.55264863,-27.7831601,40.55264863,49.58096875,-70.20473524,3.960003213,38000,40.55264863,49.58096875,9.02832012,387.7831601,430.2047352,42.42157514,40.55264863,3.960003213,-36.59264542,9.02832012,42.4215751,36.59264542,3220.122297,0.707777239,5.798277698,0.707777239,0.865351151,5.057881529,0.069115094,0.990406664
3,Smart Trackpad,3D Task,3D Model Rotation,2,38.62499746,-32.20843974,38.62499746,-177.4312743,18.47745753,-171.9336714,41000,38.62499746,537.4312743,498.8062768,392.2084397,18.47745753,-373.7309822,38.62499746,531.9336714,493.3086739,498.8062768,373.7309822,493.3086739,631835.9966,0.674133379,5.72104199,0.674133379,3.186425374,0.322492471,3.282376646,6.500683112
3,Smart Trackpad,3D Task,3D Model Rotation,3,-36.23784682,-37.17623084,-36.23784682,-13.88935,19.43361787,22.23717264,38000,396.2378468,373.88935,-22.3484968,397.1762308,19.43361787,-377.742613,396.2378468,22.23717264,-374.0006742,22.3484968,377.7426129,374.0006742,283065.4412,5.650715566,5.634337703,5.650715566,6.040770419,0.339180617,0.388111879,7.475682505
3,Smart Rotate Pointer,3D Task,3D Model Rotation,1,-11.20775412,-66.03020349,-11.20775412,9.659378347,-31.81937604,-31.62318105,39000,371.2077541,9.659378347,-361.5483758,426.0302035,391.819376,-34.21082745,371.2077541,391.6231811,20.41542693,361.5483758,34.2108275,20.415427,132304.3984,6.087573096,5.130740841,6.087573096,0.168587956,5.727832429,5.731256678,5.95968664
3,Smart Rotate Pointer,3D Task,3D Model Rotation,2,-19.16324589,-60.63555773,-19.16324589,6.575069646,-21.68964512,-36.04723125,40000,379.1632459,6.575069646,-372.5881763,420.6355577,381.6896451,-38.94591261,379.1632459,396.0472313,16.88398536,372.5881763,38.9459126,16.8839854,140623.8022,5.948723571,5.224895176,5.948723571,0.114756614,5.904629586,5.654042436,4.880820206
3,Smart Rotate Pointer,3D Task,3D Model Rotation,3,37.00456396,-35.63800642,37.00456396,135.97723,-28.54017895,-95.53218688,23000,37.00456396,135.97723,98.97266604,395.6380064,388.540179,-7.09782747,37.00456396,455.5321869,418.5276229,98.97266604,7.0978274,418.5276229,185011.3389,0.645851479,5.661184753,0.645851479,2.373250372,5.785065214,4.615834105,4.331283338
4,Smart Trackball,3D Task,3D Model Rotation,1,41.50104374,-25.4527581,41.50104374,33.64383889,-24.15448299,52.93759594,14000,41.50104374,33.64383889,-7.85720485,385.4527581,384.154483,-1.29827511,41.50104374,52.93759594,11.4365522,7.85720485,1.2982751,11.4365522,194.2159125,0.724329856,5.838950875,0.724329856,0.587195762,5.861610051,0.923935347,0.243231474
4,Smart Trackball,3D Task,3D Model Rotation,2,-36.41041526,-36.83455445,-36.41041526,-136.9190123,-47.87301767,87.89755201,38000,396.4104153,496.9190123,100.508597,396.8345545,407.8730177,11.03846322,396.4104153,87.89755201,-308.5128633,100.508597,11.0384632,308.5128633,105404.0126,5.647703679,5.640301074,5.647703679,3.893497734,5.447643532,1.534101687,4.476167644
4,Smart Trackball,3D Task,3D Model Rotation,3,29.93877289,-48.03123591,29.93877289,37.31632405,-34.99740618,37.31632405,29000,29.93877289,37.31632405,7.37755116,408.0312359,394.9974062,-13.03382973,29.93877289,37.31632405,7.37755116,7.37755116,13.0338297,7.37755116,278.7372389,0.522530161,5.444882033,0.522530161,0.651292719,5.67236534,0.651292719,0.291390198
4,Smart Trackpad,3D Task,3D Model Rotation,1,40.47975458,-27.95789439,40.47975458,142.2736909,-27.51277619,-89.84363409,41000,40.47975458,142.2736909,101.7939363,387.9578944,387.5127762,-0.4451182,40.47975458,449.8436341,409.3638795,101.7939363,0.4451182,409.3638795,177940.9894,0.706504998,5.795227986,0.706504998,2.483144345,5.802996776,4.71511808,4.384687739
4,Smart Trackpad,3D Task,3D Model Rotation,2,35.58067755,-38.45385198,35.58067755,164.640654,-45.2606798,-105.5326161,39000,35.58067755,164.640654,129.0599765,398.453852,405.2606798,6.80682782,35.58067755,465.5326161,429.9519386,129.0599765,6.8068278,429.9519386,201561.4799,0.620999973,5.612038942,0.620999973,2.873521495,5.493237423,4.441293688,4.436508884
4,Smart Trackpad,3D Task,3D Model Rotation,3,-34.52359278,-40.43315106,-34.52359278,-61.85827246,53.80125145,-108.8907679,40000,394.5235928,421.8582725,27.3346797,400.4331511,53.80125145,-346.6318996,394.5235928,468.8907679,74.36717512,27.3346797,346.6318997,74.3671751,126431.3353,5.85593959,5.318872181,5.85593959,5.680634944,5.577493704,5.680634944,0.358257631
4,Smart Rotate Pointer,3D Task,3D Model Rotation,1,21.94908612,-58.00365612,21.94908612,-37.09422683,-16.99246339,65.59133115,38000,21.94908612,397.0942268,375.1451407,418.0036561,376.9924634,-41.01119273,21.94908612,65.59133115,43.64224503,375.1451407,41.0111927,43.64224503,144320.4401,0.671590726,5.715479668,0.671590726,0.383083821,5.270830517,0.383083821,0.603477701
4,Smart Rotate Pointer,3D Task,3D Model Rotation,2,-1.030403519,-68.73212673,-1.030403519,157.8154433,-72.83316223,-148.7588649,30000,361.0304035,157.8154433,-203.2149602,428.7321267,432.8331622,4.1010355,361.0304035,508.7588649,147.7284614,203.2149602,4.1010355,147.7284614,63136.83685,0.648601733,5.66681651,0.648601733,6.265201373,5.083583519,6.265201373,3.964455019
4,Smart Rotate Pointer,3D Task,3D Model Rotation,3,39.16707939,-31.00376757,39.16707939,163.0900297,3.735087668,54.43207885,44000,39.16707939,163.0900297,123.9229503,391.0037676,3.735087668,-387.2686799,39.16707939,54.43207885,15.26499946,123.9229503,387.2686799,15.26499946,165566.9483,5.635768916,5.986610871,1.144784689,5.939055071,5.233467449,5.939055071,4.862533908
4,Smart Tilt Pointer,3D Task,3D Model Rotation,1,-23.21024812,-56.67606084,-23.21024812,35.43096593,-23.53335391,-74.51810604,19000,383.2102481,35.43096593,-347.7792822,416.6760608,383.5333539,-33.14270693,383.2102481,434.518106,51.30785792,347.7792822,33.1427069,51.3078579,124681.3644,0.48678509,5.393834923,0.48678509,0.618387013,5.872450797,4.982599004,0.523133313
4,Smart Tilt Pointer,3D Task,3D Model Rotation,2,39.91512522,-29.2910547,39.91512522,-7.537965797,-31.21054762,81.26374435,28000,39.91512522,367.5379658,327.6228406,389.2910547,391.2105476,1.91949292,39.91512522,81.26374435,41.34861913,327.6228406,1.9194929,41.34861913,109050.1184,0.696650356,5.771959958,0.696650356,6.151622985,5.73845849,1.418319901,2.502604444
4,Smart Tilt Pointer,3D Task,3D Model Rotation,3,41.0186009,-26.65164807,41.0186009,55.98594455,-35.94251908,-5.211406041,24000,41.0186009,55.98594455,14.96734365,386.6516481,395.9425191,9.29087101,41.0186009,365.211406,324.1928051,14.96734365,9.290871,324.1928051,105411.3165,0.71590964,5.818026306,0.71590964,0.977139067,5.655870008,6.192229113,0.484943979
5,Smart Rotate Pointer,3D Task,3D Model Rotation,1,39.67481037,-29.84779524,39.67481037,61.82968045,20.98213976,84.8932126,37000,39.67481037,61.82968045,22.15487008,389.8477952,20.98213976,-368.8656555,39.67481037,84.8932126,45.21840223,22.15487008,368.8656554,45.21840223,138597.4139,0.692456071,5.762242993,0.692456071,1.079131499,0.366207422,1.481666072,5.467135465
5,Smart Rotate Pointer,3D Task,3D Model Rotation,2,41.01630002,-26.6572986,41.01630002,18.46620596,-3.421837393,51.05002469,26000,41.01630002,18.46620596,-22.55009406,386.6572986,363.4218374,-23.23546121,41.01630002,51.05002469,10.03372467,22.55009406,23.2354612,10.03372467,1149.06903,0.715869482,5.817927678,0.715869482,0.322296094,6.223462978,0.890991014,0.591630326
